model,dataset,target,method,metric,value_analysis,value_metrics,abs_diff
qwen,hallusionbench,error,perplexity,auprc,0.4564499637821699,0.4564499637821699,0.0
qwen,hallusionbench,error,perplexity,prr,0.3579093726817343,0.3579093726817343,0.0
qwen,hallusionbench,error,semantic_entropy,auroc,0.6525528253532153,0.6525528253532153,0.0
qwen,hallusionbench,error,semantic_entropy,auprc,0.45624803268170094,0.45624803268170094,0.0
qwen,hallusionbench,error,semantic_entropy,prr,0.3566698640963259,0.3566698640963259,0.0
qwen,hallusionbench,error,umpire,auroc,0.6287121766039631,0.6287121766039631,0.0
qwen,hallusionbench,error,umpire,auprc,0.4331876554174916,0.4331876554174916,0.0
qwen,hallusionbench,error,umpire,prr,0.3536282419654883,0.3536282419654883,0.0
qwen,hallusionbench,hallucination,perplexity,auroc,0.5584538893877415,0.5584538893877415,0.0
qwen,hallusionbench,hallucination,perplexity,auprc,0.5142981420410466,0.5142981420410466,0.0
qwen,hallusionbench,hallucination,perplexity,prr,0.08641250532583566,0.08641250532583566,0.0
qwen,hallusionbench,hallucination,semantic_entropy,auroc,0.6393661245801323,0.6393661245801323,0.0
qwen,hallusionbench,hallucination,semantic_entropy,auprc,0.5571543870547522,0.5571543870547522,0.0
qwen,hallusionbench,hallucination,semantic_entropy,prr,0.30585674219568915,0.30585674219568915,0.0
qwen,hallusionbench,hallucination,umpire,auroc,0.6133692507233364,0.6133692507233364,0.0
qwen,hallusionbench,hallucination,umpire,auprc,0.5321449103313953,0.5321449103313953,0.0
qwen,hallusionbench,hallucination,umpire,prr,0.2950267428855017,0.2950267428855017,0.0
qwen,mmvet,error,perplexity,auroc,0.7171277322404371,0.7171277322404371,0.0
qwen,mmvet,error,perplexity,auprc,0.6718679474457685,0.6718679474457685,0.0
qwen,mmvet,error,perplexity,prr,0.5036956701747007,0.5036956701747007,0.0
qwen,mmvet,error,semantic_entropy,auroc,0.8157445355191257,0.8157445355191257,0.0
qwen,mmvet,error,semantic_entropy,auprc,0.743411828187154,0.743411828187154,0.0
qwen,mmvet,error,semantic_entropy,prr,0.7098327857365415,0.7098327857365415,0.0
qwen,mmvet,error,umpire,auroc,0.7690403005464481,0.7690403005464481,0.0
qwen,mmvet,error,umpire,auprc,0.6978437358129929,0.6978437358129929,0.0
qwen,mmvet,error,umpire,prr,0.6022059331236633,0.6022059331236633,0.0
qwen,mmvet,hallucination,perplexity,auroc,0.5359979889391654,0.5359979889391654,0.0
qwen,mmvet,hallucination,perplexity,auprc,0.32102520074470187,0.32102520074470187,0.0
qwen,mmvet,hallucination,perplexity,prr,0.07224016677665687,0.07224016677665687,0.0
qwen,mmvet,hallucination,semantic_entropy,auroc,0.659175465057818,0.659175465057818,0.0
qwen,mmvet,hallucination,semantic_entropy,auprc,0.4514596944403335,0.4514596944403335,0.0
qwen,mmvet,hallucination,semantic_entropy,prr,0.3232178318934457,0.3232178318934457,0.0
qwen,mmvet,hallucination,umpire,auroc,0.5763700351935646,0.5763700351935646,0.0
qwen,mmvet,hallucination,umpire,auprc,0.368604414323759,0.368604414323759,0.0
qwen,mmvet,hallucination,umpire,prr,0.18275567692531208,0.18275567692531208,0.0
internvl,vilp,error,perplexity,auroc,0.6220302827505437,0.6220302827505437,0.0
internvl,vilp,error,perplexity,auprc,0.4964277372137125,0.4964277372137125,0.0
internvl,vilp,error,perplexity,prr,0.29823158362137864,0.29823158362137864,0.0
internvl,vilp,error,semantic_entropy,auroc,0.7189382215158107,0.7189382215158107,0.0
internvl,vilp,error,semantic_entropy,auprc,0.5814789614091227,0.5814789614091227,0.0
internvl,vilp,error,semantic_entropy,prr,0.5094403143051528,0.5094403143051528,0.0
internvl,vilp,error,umpire,auroc,0.6401936590262673,0.6401936590262673,0.0
internvl,vilp,error,umpire,auprc,0.4768210330971843,0.4768210330971843,0.0
internvl,vilp,error,umpire,prr,0.35727243452604074,0.35727243452604074,0.0
internvl,vilp,hallucination,perplexity,auroc,0.532568870030392,0.532568870030392,0.0
internvl,vilp,hallucination,perplexity,auprc,0.2783723263889995,0.2783723263889995,0.0
internvl,vilp,hallucination,perplexity,prr,0.11418367175141389,0.11418367175141389,0.0
internvl,vilp,hallucination,semantic_entropy,auroc,0.6567659557852127,0.6567659557852127,0.0
internvl,vilp,hallucination,semantic_entropy,auprc,0.38509158778193403,0.38509158778193403,0.0
internvl,vilp,hallucination,semantic_entropy,prr,0.3900419980708429,0.3900419980708429,0.0
internvl,vilp,hallucination,umpire,auroc,0.5633122693756956,0.5633122693756956,0.0
internvl,vilp,hallucination,umpire,auprc,0.2794781924959251,0.2794781924959251,0.0
internvl,vilp,hallucination,umpire,prr,0.2238511217992096,0.2238511217992096,0.0
internvl,hallusionbench,error,perplexity,auroc,0.707777990797546,0.707777990797546,0.0
internvl,hallusionbench,error,perplexity,auprc,0.4800945336159316,0.4800945336159316,0.0
internvl,hallusionbench,error,perplexity,prr,0.49907220199386215,0.49907220199386215,0.0
internvl,hallusionbench,error,semantic_entropy,auroc,0.7459240797546012,0.7459240797546012,0.0
internvl,hallusionbench,error,semantic_entropy,auprc,0.5010186424646972,0.5010186424646972,0.0
internvl,hallusionbench,error,semantic_entropy,prr,0.5754429371446548,0.5754429371446548,0.0
internvl,hallusionbench,error,umpire,auroc,0.6740835889570552,0.6740835889570552,0.0
internvl,hallusionbench,error,umpire,auprc,0.4166061289408176,0.4166061289408176,0.0
internvl,hallusionbench,error,umpire,prr,0.49778207513628225,0.49778207513628225,0.0
internvl,hallusionbench,hallucination,perplexity,auroc,0.6403213733220221,0.6403213733220221,0.0
internvl,hallusionbench,hallucination,perplexity,auprc,0.497197895164576,0.497197895164576,0.0
internvl,hallusionbench,hallucination,perplexity,prr,0.39735329969629635,0.39735329969629635,0.0
internvl,hallusionbench,hallucination,semantic_entropy,auroc,0.6856995525392152,0.6856995525392152,0.0
internvl,hallusionbench,hallucination,semantic_entropy,auprc,0.5268258451927674,0.5268258451927674,0.0
internvl,hallusionbench,hallucination,semantic_entropy,prr,0.4170990501881906,0.4170990501881906,0.0
internvl,hallusionbench,hallucination,umpire,auroc,0.6610576043382071,0.6610576043382071,0.0
internvl,hallusionbench,hallucination,umpire,auprc,0.47865222207284885,0.47865222207284885,0.0
internvl,hallusionbench,hallucination,umpire,prr,0.484649433049642,0.484649433049642,0.0
internvl,mmvet,error,perplexity,auroc,0.7239019319067833,0.7239019319067833,0.0
internvl,mmvet,error,perplexity,auprc,0.6469492743238913,0.6469492743238913,0.0
internvl,mmvet,error,perplexity,prr,0.561760003883575,0.561760003883575,0.0
internvl,mmvet,error,semantic_entropy,auroc,0.8474833232261977,0.8474833232261977,0.0
internvl,mmvet,error,semantic_entropy,auprc,0.8176174281700341,0.8176174281700341,0.0
internvl,mmvet,error,semantic_entropy,prr,0.7190616828352668,0.7190616828352668,0.0
internvl,mmvet,error,umpire,auroc,0.8280343065061075,0.8280343065061075,0.0
internvl,mmvet,error,umpire,auprc,0.7656658261521456,0.7656658261521456,0.0
internvl,mmvet,error,umpire,prr,0.6907019980971594,0.6907019980971594,0.0
internvl,mmvet,hallucination,perplexity,auroc,0.6317996248482842,0.6317996248482842,0.0
internvl,mmvet,hallucination,perplexity,auprc,0.38751117432218984,0.38751117432218984,0.0
internvl,mmvet,hallucination,perplexity,prr,0.3913627978622241,0.3913627978622241,0.0
internvl,mmvet,hallucination,semantic_entropy,auroc,0.7793776895067859,0.7793776895067859,0.0
internvl,mmvet,hallucination,semantic_entropy,auprc,0.544345805099831,0.544345805099831,0.0
internvl,mmvet,hallucination,semantic_entropy,prr,0.6669967366838575,0.6669967366838575,0.0
internvl,mmvet,hallucination,umpire,auroc,0.719849939313693,0.719849939313693,0.0
internvl,mmvet,hallucination,umpire,auprc,0.38698244964533,0.38698244964533,0.0
internvl,mmvet,hallucination,umpire,prr,0.6068745884240213,0.6068745884240213,0.0
