replicate,adjusted_rand_index,low_cluster_jaccard,low_cluster_size
1,0.8659374464123119,0.9131961866532865,1993
2,0.8452142342636147,0.9041231992051664,2013
3,0.873595892335163,0.9266802443991853,1964
4,0.8115566748942442,0.8856447688564477,2055
5,0.8889649195563839,0.9405684754521964,1935
6,0.8632875641929894,0.9164149043303121,1986
7,0.8702036709884983,0.9178013111447302,1983
8,0.8902186112752473,0.9299948901379663,1957
9,0.8252806855536129,0.89128305582762,2042
10,0.806585548942954,0.8822103732428502,2063
11,0.8839587355710063,0.9342915811088296,1948
12,0.9029756115910017,0.9503916449086162,1915
13,0.8274814551317676,0.9005442850074221,2021
14,0.8654662720033215,0.9154929577464789,1988
15,0.8320605956248562,0.896551724137931,2030
16,0.8095888161514548,0.8873720136518771,2051
17,0.8865458214331098,0.9391124871001032,1938
18,0.8542210231128469,0.9068261086198306,2007
19,0.8547974304352113,0.9122807017543859,1995
20,0.8808536805548235,0.9210526315789473,1976
21,0.9230835031040034,0.9518828451882845,1912
22,0.8333296529168831,0.8974358974358975,2028
23,0.8197525284371675,0.8908467939304944,2043
24,0.824691635022457,0.8930323846908734,2038
25,0.7867342685365075,0.8720651653090561,2087
26,0.8689501668907643,0.922453117080588,1973
27,0.8918691179462849,0.9425168306576903,1931
28,0.8567674922629219,0.9127382146439318,1994
29,0.8633968556283026,0.9238578680203046,1970
30,0.8115023925496396,0.883495145631068,2060
31,0.8558236267869446,0.9150326797385621,1989
32,0.8301098470323959,0.8969935929029078,2029
33,0.8201187620102436,0.896110290497292,2031
34,0.8754757271584254,0.9285714285714286,1960
35,0.8713272644940808,0.931899641577061,1953
36,0.8377570477131703,0.9068261086198306,2007
37,0.8732364265080137,0.9243270695784662,1969
38,0.8422463263913125,0.9014363546310055,2019
39,0.8811642883557907,0.9276248725790011,1962
40,0.8243967237037866,0.8817829457364341,2064
41,0.9205539645206202,0.9518828451882845,1912
42,0.9207831483698986,0.9474232170744404,1921
43,0.8480175025263587,0.9090909090909091,2002
44,0.8902144306860224,0.9362139917695473,1944
45,0.910899965283315,0.9391124871001032,1938
46,0.8648321492594823,0.9164149043303121,1986
47,0.8594430943124193,0.900990099009901,2020
48,0.8721504006774616,0.9328549461814454,1951
49,0.881523490863306,0.9266802443991853,1964
50,0.8623182833893184,0.9118236472945892,1996
51,0.8823980645309357,0.935251798561151,1946
52,0.824317470373154,0.90233019335647,2017
53,0.797174665719168,0.8737397983677389,2083
54,0.8487722014958926,0.9118236472945892,1996
55,0.7999912285933172,0.8792270531400966,2070
56,0.878054663474046,0.9304703476482618,1956
57,0.872691959097949,0.9252669039145908,1967
58,0.8624893305477496,0.9205867475973698,1977
59,0.8756966172654751,0.9233891425672247,1971
60,0.8671918427680322,0.9141135107985937,1991
61,0.857098796774254,0.9131961866532865,1993
62,0.8787867662206047,0.9304703476482618,1956
63,0.8630674548915135,0.922453117080588,1973
64,0.8455340684042286,0.91,2000
65,0.9041359365489713,0.9479166666666666,1920
66,0.8149301849513935,0.8856447688564477,2055
67,0.8781356974454652,0.9247967479674797,1968
68,0.8360285453415642,0.904572564612326,2012
69,0.826386458719859,0.8943488943488943,2035
70,0.7851065729575625,0.8737397983677389,2083
71,0.8480267837000043,0.9005442850074221,2021
72,0.8584939206937471,0.9187279151943463,1981
73,0.8148009788318188,0.89128305582762,2042
74,0.7931758742771736,0.87248322147651,2086
75,0.8635231787769533,0.914572864321608,1990
76,0.9119061522575881,0.9508881922675027,1914
77,0.8348365777279321,0.8987654320987655,2025
78,0.8516341194159346,0.9205867475973698,1977
79,0.808907070415737,0.8695652173913043,2093
80,0.8762283591615304,0.9131961866532865,1993
81,0.8781060830297023,0.9252669039145908,1967
82,0.8840097647650569,0.9342915811088296,1948
83,0.8593484873799827,0.9109109109109109,1998
84,0.8605412325213365,0.9187279151943463,1981
85,0.7977292139138223,0.8708133971291866,2090
86,0.863215669046536,0.9109109109109109,1998
87,0.8908214337736924,0.9187279151943463,1981
88,0.8581257810823374,0.9136546184738956,1992
89,0.8554236911961267,0.9159536990437847,1987
90,0.8511714145239713,0.90863704443335,2003
91,0.8502802480942498,0.9164149043303121,1986
92,0.8556210086180981,0.908183632734531,2004
93,0.8587831718632997,0.9027777777777778,2016
94,0.9253138751303605,0.9434940383618455,1929
95,0.8120886537834237,0.8934707903780069,2037
96,0.9061622221837949,0.9464378575143005,1923
97,0.8466610305856966,0.9077306733167082,2005
98,0.8401761218165015,0.908183632734531,2004
99,0.8883229024126346,0.9347714432460195,1947
100,0.8467923714056812,0.9027777777777778,2016
101,0.8706004857713023,0.9219858156028369,1974
102,0.8368765012301007,0.8974358974358975,2028
103,0.8513094962073913,0.9054726368159204,2010
104,0.7871708760842249,0.866254164683484,2101
105,0.8597218792016958,0.9090909090909091,2002
106,0.8151729378432819,0.8983218163869694,2026
107,0.9220010663680419,0.9553805774278216,1905
108,0.8516782823613024,0.9063745019920318,2008
109,0.8222837240483447,0.8943488943488943,2035
110,0.8308737762203613,0.8956692913385826,2032
111,0.9206059050416754,0.9563846558066211,1903
112,0.7951567601310775,0.8762638420799229,2077
113,0.8618872082637037,0.9113670505758638,1997
114,0.8883440891654418,0.931899641577061,1953
115,0.8402032688340723,0.9005442850074221,2021
116,0.7889506797856247,0.869980879541109,2092
117,0.8846695373862685,0.9347714432460195,1947
118,0.8835743643493423,0.9381443298969072,1940
119,0.8491260737151743,0.90863704443335,2003
120,0.882272014452537,0.9333333333333333,1950
121,0.8701791973120979,0.9266802443991853,1964
122,0.8492130475759165,0.9041231992051664,2013
123,0.8441587899103218,0.9054726368159204,2010
124,0.8182538943396694,0.8952287260206592,2033
125,0.8525872526480152,0.9090909090909091,2002
126,0.8934747135618525,0.9400826446280992,1936
127,0.8722578438431076,0.922920892494929,1972
128,0.8753362751046821,0.9118236472945892,1996
129,0.8319522476552471,0.8947885939036382,2034
130,0.8492509083781342,0.91,2000
131,0.8298536498520165,0.8899755501222494,2045
132,0.8309884214860179,0.9018830525272548,2018
133,0.7994118638052959,0.8839242350655658,2059
134,0.8726892887101448,0.9304703476482618,1956
135,0.8544806967016978,0.9113670505758638,1997
136,0.8167993506847596,0.8788025108643167,2071
137,0.8043988715706237,0.8666666666666667,2100
138,0.8853635535181169,0.9386281588447654,1939
139,0.8524281766740173,0.9014363546310055,2019
140,0.8824381578701417,0.9342915811088296,1948
141,0.8184006076266643,0.8873720136518771,2051
142,0.845859221680806,0.9109109109109109,1998
143,0.8448338901173525,0.9077306733167082,2005
144,0.8246820895619648,0.8852140077821011,2056
145,0.8511352660598627,0.9054726368159204,2010
146,0.8860763211611328,0.937178166838311,1942
147,0.8172343969416743,0.9000989119683481,2022
148,0.881653323664501,0.9238578680203046,1970
149,0.8177626463936832,0.8882381649585164,2049
150,0.8782712892149258,0.9304703476482618,1956
151,0.9134919905954181,0.9400826446280992,1936
152,0.8615937701912862,0.922453117080588,1973
153,0.8196501467749525,0.8943488943488943,2035
154,0.828887370769916,0.9036742800397219,2014
155,0.8679076653931115,0.9168765743073047,1985
156,0.8853074812951662,0.9366958311888832,1943
157,0.8461478323210067,0.9159536990437847,1987
158,0.8930543647146485,0.935251798561151,1946
159,0.8610519731508802,0.9233891425672247,1971
160,0.8287420113720931,0.8974358974358975,2028
161,0.8531962946349093,0.9113670505758638,1997
162,0.8864648762855701,0.937178166838311,1942
163,0.8498529804707541,0.9054726368159204,2010
164,0.8204054916121358,0.90863704443335,2003
165,0.8723452607590635,0.9238578680203046,1970
166,0.8346144494644855,0.9054726368159204,2010
167,0.8466460557744754,0.9014363546310055,2019
168,0.8507039335877793,0.9059233449477352,2009
169,0.8386624631426896,0.904572564612326,2012
170,0.8468630468699402,0.9131961866532865,1993
171,0.790118494541717,0.8775313404050145,2074
172,0.8869262825012939,0.9314227226202662,1954
173,0.8911775464815577,0.9304703476482618,1956
174,0.8515414281548456,0.9077306733167082,2005
175,0.8407497744150307,0.90233019335647,2017
176,0.9084487690958196,0.9405684754521964,1935
177,0.7905648037863464,0.8779546550892426,2073
178,0.9115120107206194,0.944963655244029,1926
179,0.8652129805645801,0.9178013111447302,1983
180,0.8543540802024688,0.9154929577464789,1988
181,0.8781369268396723,0.9215189873417722,1975
182,0.8885383546725822,0.9299948901379663,1957
183,0.8223362522202207,0.8741594620557157,2082
184,0.9021974076893353,0.935251798561151,1946
185,0.9088497397513966,0.948905109489051,1918
186,0.898428341196214,0.9338122113904567,1949
187,0.8729977493866238,0.9178013111447302,1983
188,0.8560514949895446,0.9095452273863068,2001
189,0.800676776449412,0.8683206106870229,2096
190,0.840533975132757,0.8878048780487805,2050
191,0.8391863904871703,0.8987654320987655,2025
192,0.8920521645426092,0.931899641577061,1953
193,0.8577295403950249,0.9182643794147326,1982
194,0.8521353363075208,0.9173387096774194,1984
195,0.8018490833000917,0.8788025108643167,2071
196,0.8468011130345697,0.9027777777777778,2016
197,0.8688307743122237,0.9178013111447302,1983
198,0.8701557218458695,0.9266802443991853,1964
199,0.8395761522068613,0.8974358974358975,2028
200,0.8643550719228374,0.9219858156028369,1974
