u_ppl,u_se,u_umpire,raw_cluster,centroid_mean,cluster,profile
0.22213322087706455,0.22050233148111914,0.1668245744922615,2,0.20315337561681504,0,consensus_low
0.33045446402613016,0.7168635917762407,0.4826298700043165,0,0.5099826419355625,1,se_high_disagreement
0.6929055753959471,0.3022915779395344,0.5890041557966732,3,0.5280671030440516,2,se_low_disagreement
0.781944100996502,0.7714466352608089,0.7920485417457309,1,0.7818130926676806,3,consensus_high
