k,silhouette,davies_bouldin,calinski_harabasz,inertia
2,0.3847502432925879,1.0207964245916903,5534.899999901118,1.1776188353236403
3,0.34772817572943715,1.1290357190088383,4832.854543456193,0.8857025467877547
4,0.36269920910153697,0.9794064798499618,4982.33053028352,0.6603553976401656
5,0.3324440672170317,1.0229648810377328,4556.630899334386,0.5751812426944356
6,0.3331944509494957,1.0732835330766062,4369.898578231921,0.5051363970074965
