model,dataset,valid_n,all_hallucination_rate,low_cluster_n,low_cluster_hallucination_n,low_cluster_hallucination_rate,low_cluster_error_rate,candidate_rate_all_valid
internvl,hallusionbench,1122,0.44385026737967914,290,73,0.2517241379310345,0.1482758620689655,0.06506238859180036
internvl,mmvet,206,0.2815533980582524,67,9,0.13432835820895522,0.13432835820895522,0.043689320388349516
internvl,vilp,898,0.27616926503340755,258,46,0.17829457364341086,0.20155038759689922,0.051224944320712694
llava,hallusionbench,1109,0.7222723174030659,294,180,0.6122448979591837,0.46258503401360546,0.1623083859332732
llava,mmvet,217,0.6682027649769585,46,17,0.3695652173913043,0.32608695652173914,0.07834101382488479
llava,vilp,888,0.5236486486486487,240,103,0.42916666666666664,0.30416666666666664,0.11599099099099099
qwen,hallusionbench,1113,0.46630727762803237,293,97,0.3310580204778157,0.23208191126279865,0.08715184186882301
qwen,mmvet,213,0.30985915492957744,63,15,0.23809523809523808,0.19047619047619047,0.07042253521126761
qwen,vilp,896,0.19977678571428573,269,39,0.1449814126394052,0.17843866171003717,0.04352678571428571
