cluster,profile,n,share,hallucination_rate,error_rate,u_ppl,u_se,u_umpire,centroid_mean
0,consensus_low,1820,0.2731912338637046,0.3181318681318681,0.25054945054945055,0.22213322087706455,0.22050233148111914,0.1668245744922615,0.20315337561681504
1,se_high_disagreement,1670,0.2506754728309817,0.5335329341317365,0.48502994011976047,0.33045446402613016,0.7168635917762407,0.4826298700043165,0.5099826419355625
2,se_low_disagreement,1519,0.2280096067247073,0.4377880184331797,0.4298880842659645,0.6929055753959471,0.3022915779395344,0.5890041557966732,0.5280671030440516
3,consensus_high,1653,0.24812368658060643,0.5105868118572293,0.5819721718088324,0.781944100996502,0.7714466352608089,0.7920485417457309,0.7818130926676806
