model,metric,best_baseline,baseline_value,era_value,absolute_improvement,relative_improvement_pct,ci_low,ci_high,p_bootstrap,p_holm
llava,auroc,semantic_entropy,0.4761875,0.708075,0.23188750000000002,48.69667935424597,0.14759167642176296,0.30457651045273887,0.0,0.0
llava,auprc,semantic_entropy,0.4639812879446966,0.7186731272088969,0.25469183926420025,54.89269629652775,0.17664870072918695,0.3157460649275878,0.0,0.0
llava,prr,semantic_entropy,-0.03516377654222349,0.4733608163862529,0.5085245929284764,1446.160347190971,0.33686726115301724,0.6552472669910607,0.0,0.0
qwen,auroc,semantic_entropy,0.4985125,0.61785,0.11933749999999999,23.938717685113208,0.04404908162926264,0.1905555482484709,0.0,0.0
qwen,auprc,perplexity,0.498598134130096,0.6101633164831555,0.11156518235305946,22.3757721331443,0.02034148543434931,0.18860671012952707,0.016,0.048
qwen,prr,semantic_entropy,-0.0012246335953840712,0.2897764161716197,0.29100104976700375,23762.295176602565,0.12599570487249512,0.43779479737503213,0.0,0.0
internvl,auroc,umpire,0.50215,0.590625,0.08847499999999997,17.6192372796973,0.011520536009542897,0.16347233342176218,0.026,0.052
internvl,auprc,umpire,0.5015973219331716,0.601845560062819,0.10024823812964734,19.985800112187107,0.03052651388065497,0.1762950468174888,0.006,0.024
internvl,prr,umpire,0.0031476122141229166,0.18677298744286044,0.18362537522873754,5833.7991702038435,-0.024503120580162345,0.3688769147206904,0.088,0.088
