model,layer_set,layers,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,prr,prr_ci_low,prr_ci_high
llava,Layer 0,0,0.715375,0.6541653870609464,0.7692128375013664,0.7223643166442607,0.644125998507659,0.788990721878172,0.48652402110960324,0.36455561111770046,0.5956833717168278
llava,Layer 1,1,0.69875,0.631954010874665,0.7534402043958011,0.7139532664047562,0.6305847719330784,0.7818415414594696,0.4510814946816938,0.3105176765604587,0.5697388175277279
llava,Layers 0-1,"0,1",0.708075,0.6433795773044746,0.7623251353077863,0.7186731272088969,0.6376620824220389,0.7878292042517627,0.4733608163862529,0.34004974904106583,0.5847438410124375
llava,Layers 0-3,"0,1,2,3",0.7068,0.6436387756028127,0.7610380566730202,0.7178669041210968,0.6351219439068969,0.785328111148276,0.47110455184912564,0.33848159378027415,0.5826941045647639
llava,Middle 2,"15,16",0.55045,0.4912427429201623,0.6077903759982719,0.5453140468905441,0.4715542591745857,0.626722890598896,0.15309818181633553,0.014554585008747753,0.29291011828882296
llava,Final 2,"30,31",0.675575,0.6092744798639413,0.7304216561624649,0.6668055362959708,0.5842914434286773,0.7421806562073152,0.3927273285575273,0.2503736968985547,0.5093784686889655
llava,All layers,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",0.6404,0.5719888058238042,0.7022856495351905,0.6502332513152607,0.5612926993983783,0.7296400018251881,0.30667786397600205,0.16132317780743896,0.44009705690215073
qwen,Layer 0,0,0.6158,0.5539380301558168,0.6720539441708369,0.614556110213395,0.5298933368764783,0.6967425167260374,0.26793924161299554,0.1172523476977994,0.3909815587790214
qwen,Layer 1,1,0.616375,0.5577155849553441,0.6707291983495912,0.5986550007407954,0.5213690255879135,0.6793803637162568,0.3012791140495154,0.16423398739535336,0.4226155089214661
qwen,Layers 0-1,"0,1",0.61785,0.5579169828148748,0.6730118347730454,0.6101633164831555,0.5281197545171743,0.6906997138096411,0.2897764161716197,0.15023423057625712,0.4128536855445331
qwen,Layers 0-3,"0,1,2,3",0.6103,0.5506157401876752,0.667229939955287,0.5986219825617589,0.5170002809348849,0.6800359527500567,0.2760369713038149,0.13774938617902538,0.4009812791484141
qwen,Middle 2,"13,14",0.4728,0.40930258534566727,0.5370415488501172,0.49478432193103683,0.42435697078933454,0.5756211160167803,-0.13838463269592216,-0.2841485702689016,0.004676843645314395
qwen,Final 2,"26,27",0.5378,0.47131729135751416,0.5991428923518372,0.5359665171965294,0.4591631983325186,0.6214242665946961,0.026055666213151342,-0.13219323085480014,0.18430661743768476
qwen,All layers,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",0.5694,0.5058690020589074,0.6287630897429394,0.5546608643824747,0.4746837002109243,0.6407994835121579,0.18569290379309028,0.033757991666890294,0.32859373342043835
internvl,Layer 0,0,0.5861,0.5296020507617504,0.645285747657837,0.5849066068903124,0.514869021804406,0.677201895347745,0.19619725993401166,0.06200444029024931,0.32795432990343854
internvl,Layer 1,1,0.5949,0.5389629919005079,0.6526092289379326,0.6101904928773827,0.5368095977564276,0.6999997872600418,0.17228026194339646,0.02656238414005293,0.31742685014591765
internvl,Layers 0-1,"0,1",0.590625,0.534706004954052,0.6492858663938729,0.601845560062819,0.5307517799122782,0.6923064163453535,0.18677298744286044,0.049205667062990614,0.3201792503190146
internvl,Layers 0-3,"0,1,2,3",0.572825,0.5187076013513514,0.6334592638832329,0.5840116839585048,0.5137193254393787,0.6741659680975385,0.1568180555377134,0.011901149796291066,0.29511210005915384
internvl,Middle 2,"17,18",0.45555,0.395214778832848,0.5129543239302492,0.48287281573139157,0.4167038952686771,0.5627215216024964,-0.12727146975396092,-0.2655264324223828,0.021403108512878907
internvl,Final 2,"34,35",0.54305,0.4841115921153676,0.599622148510687,0.5328954817468607,0.4632342333025695,0.6177964106292699,0.06058969650425554,-0.09477722995735804,0.19956025472117628
internvl,All layers,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",0.503075,0.44616925770308125,0.5618129317725409,0.4982087934068769,0.4346796539689501,0.5735780887545278,-0.01294771694612768,-0.15647484600065745,0.12904406975296168
