model,stratum,correct,n,n_hallucination,n_non_hallucination,auroc,auroc_ci_low,auroc_ci_high,auroc_bootstrap_valid,auprc,auprc_ci_low,auprc_ci_high,auprc_bootstrap_valid,prr,prr_ci_low,prr_ci_high,prr_bootstrap_valid
llava,correct,1,278,82,196,0.7170856147336984,0.6448078282546414,0.7830090786872702,1000,0.5511559018759018,0.4444010443227132,0.6585975758223738,1000,0.5582454331495199,0.42421560629839994,0.6721765019465564,1000
llava,incorrect,0,122,118,4,0.6419491525423728,0.5215753675126161,0.7573188753095295,986,0.9854322948837626,0.9666534899779499,0.9964957828940442,986,0.011567735338275775,-0.07599592908358963,0.12128625393611399,986
qwen,correct,1,280,88,192,0.6999881628787878,0.6233053439104683,0.771081854223502,1000,0.5074118368949275,0.39405522912530744,0.634482189911868,1000,0.50268350965706,0.336644188048749,0.6423587523601147,1000
qwen,incorrect,0,120,112,8,0.5279017857142857,0.3296900826446281,0.7282308558558558,1000,0.9427435701761833,0.8811453258315843,0.9872939399399235,1000,0.010814088527960806,-0.18643542243271133,0.26438926950000596,1000
internvl,correct,1,274,95,179,0.6927374301675978,0.6210254248366013,0.7584386263059494,1000,0.5449755368770816,0.44531594154569537,0.6590799873837755,1000,0.4455055792602872,0.2694705296460081,0.5961847444793614,1000
internvl,incorrect,0,126,105,21,0.5106575963718821,0.37585910991872484,0.6460070803446017,1000,0.8487322274623073,0.7673439651707569,0.9250487229544995,1000,0.039449809273260035,-0.20042698120771257,0.27863603663852077,1000
