model,group,n,mean,std,median,q25,q75,min,max
llava,LUH,200,0.3793706725251295,0.07204558412369694,0.3745775934164953,0.32601742013533497,0.4227352677443875,0.24059585235445918,0.6109122779655067
llava,non_hallucination,200,0.3275212796585183,0.05863371868127241,0.33236954771600236,0.27723943619228764,0.3617520981630308,0.2165790729040153,0.5300582218681189
qwen,LUH,200,0.7032627932581761,0.06325577579691664,0.7105275008632972,0.6629968596206568,0.7540776252384223,0.5146893149363155,0.8545688510590881
qwen,non_hallucination,200,0.6748977442510321,0.06827053091385403,0.6755692149623509,0.6291964888023256,0.7307609963536681,0.510671562577935,0.8118028381610654
internvl,LUH,200,0.6489781134192515,0.05145860898045701,0.6529162747484839,0.6101740640370625,0.6854913292082029,0.5324763451824808,0.7722174198012126
internvl,non_hallucination,200,0.6326940534715174,0.04892868401762152,0.634301384011461,0.6032407632630142,0.6660604186506867,0.5047099477277159,0.772215062175545
