model,n,era_auroc,cliffs_delta,luh_median,non_hallucination_median,median_gap,direction_consistent
llava,400,0.708075,0.41615,0.3745775934164953,0.33236954771600236,0.04220804570049297,True
qwen,400,0.61785,0.23570000000000002,0.7105275008632972,0.6755692149623509,0.034958285900946295,True
internvl,400,0.590625,0.1812499999999999,0.6529162747484839,0.634301384011461,0.018614890737022938,True
