model,field,n,agreements,disagreements,agreement_rate,cohens_kappa,gpt_positive_rate,gemini_positive_rate
llava,correct,2210,2181,29,0.9868778280542987,0.9737539794929674,0.48823529411764705,0.4986425339366516
llava,hallucination,2210,1917,293,0.867420814479638,0.7129251724807526,0.6660633484162896,0.6149321266968326
qwen,correct,2215,2153,62,0.9720090293453725,0.9385460110619865,0.6379232505643341,0.6613995485327314
qwen,hallucination,2215,1902,313,0.8586907449209932,0.6763441989659558,0.33182844243792325,0.3115124153498871
internvl,correct,2242,2173,69,0.9692239072256913,0.9303881484628045,0.6578947368421053,0.6833184656556646
internvl,hallucination,2242,1950,292,0.8697591436217663,0.6968701873701778,0.3215878679750223,0.3028545941123996
overall,correct,6667,6507,160,0.976001199940003,0.9498121720350216,0.5950202489875506,0.6148192590370481
overall,hallucination,6667,5769,898,0.8653067346632668,0.7245267465020633,0.4391780410979451,0.40917954102294884
