model,metric,paired_n,candidate_n,native_three_part_n,xml_lora_rate,native_prompt_rate,delta_xml_minus_native,delta_ci_low,delta_ci_high,xml_positive_native_negative,xml_negative_native_positive,mcnemar_exact_p
llava,accuracy,217,500,217,0.4608294930875576,0.4423963133640553,0.01843317972350228,-0.04147465437788023,0.08298668714797741,27,23,0.6718110337653656
llava,hallucination_rate,217,500,217,0.6497695852534562,0.511520737327189,0.13824884792626724,0.06305653479566525,0.21028652238071818,47,17,0.0002268823828832806
qwen,accuracy,473,500,473,0.6638477801268499,0.6765327695560254,-0.012684989429175508,-0.04842617113608543,0.02376458354947327,37,43,0.5764306261883931
qwen,hallucination_rate,473,500,473,0.2832980972515856,0.27906976744186046,0.004228329809725151,-0.03435813758837462,0.04527094602208698,49,47,0.918778035364537
internvl,accuracy,500,500,500,0.684,0.738,-0.05399999999999994,-0.09505876350993875,-0.017596739652180296,35,62,0.007959455422446686
internvl,hallucination_rate,500,500,500,0.296,0.224,0.07199999999999998,0.03245108283647837,0.11377624497839764,68,32,0.00040877716742681523
