model,group,n,pct_mean_perplexity,pct_mean_semantic_entropy,pct_mean_umpire,score_mean_perplexity,score_mean_semantic_entropy,score_mean_umpire,pair_dist_mean,pair_dist_median,pair_dist_p90
llava,luh_positive,200,0.1675884086444008,0.17137278978388998,0.13338163064833006,1.001254261812849,0.23492812145318326,-36.258012882074965,,,
llava,matched_negative,200,0.21518295677799607,0.1949066797642436,0.17084970530451865,1.0019622599032048,0.2530565181395523,-32.728586768854264,,,
llava,match_quality,200,,,,,,,0.09270348597838131,0.08203473047979454,0.17491969413220768
qwen,luh_positive,200,0.24158689248895435,0.3059621993127148,0.21934707903780074,1.0014468378001617,0.13932013890044814,-37.682461497887445,,,
qwen,matched_negative,200,0.24919366715758468,0.30986254295532656,0.2298478154148257,1.0013304681005335,0.1450866824954845,-36.71729346140516,,,
qwen,match_quality,200,,,,,,,0.037144503792134353,0.020327883971650064,0.09084037394071132
internvl,luh_positive,200,0.3044198158914728,0.3572625968992248,0.34308866279069766,1.006343467776351,0.2281826030609477,8.61405119588107,,,
internvl,matched_negative,200,0.30959181201550384,0.35809108527131783,0.3446729651162791,1.00272340251129,0.22573895987838888,17.071914693157343,,,
internvl,match_quality,200,,,,,,,0.03837520419408837,0.028581002267233604,0.08387855677466959
