model,dataset,n_consensus_low,hallu_rate,error_rate,n_luh_hallu_consensus,n_luh_correct_consensus
llava,vilp,53,0.24528301886792453,0.22641509433962265,13,3
llava,hallusionbench,57,0.5789473684210527,0.2631578947368421,33,18
llava,mmvet,22,0.2727272727272727,0.13636363636363635,6,3
qwen,vilp,81,0.08641975308641975,0.04938271604938271,7,3
qwen,hallusionbench,57,0.2807017543859649,0.12280701754385964,16,9
qwen,mmvet,23,0.21739130434782608,0.043478260869565216,5,4
internvl,vilp,75,0.05333333333333334,0.06666666666666667,4,2
internvl,hallusionbench,152,0.06578947368421052,0.03289473684210526,10,6
internvl,mmvet,26,0.038461538461538464,0.038461538461538464,1,1
