scope,n,long,numeric,short(<=3w),yes/no,long_pct,numeric_pct,short(<=3w)_pct,yes/no_pct
llava/vilp,886,1,44,837,4,0.001128668171557562,0.04966139954853273,0.9446952595936795,0.004514672686230248
llava/hallusionbench,1108,,,15,1093,,,0.013537906137184115,0.9864620938628159
llava/mmvet,216,4,29,136,47,0.018518518518518517,0.13425925925925927,0.6296296296296297,0.2175925925925926
qwen/vilp,898,2,48,847,1,0.0022271714922048997,0.053452115812917596,0.9432071269487751,0.0011135857461024498
qwen/hallusionbench,1099,,,18,1081,,,0.01637852593266606,0.9836214740673339
qwen/mmvet,218,19,34,140,25,0.0871559633027523,0.1559633027522936,0.6422018348623854,0.11467889908256881
internvl/vilp,900,1,47,846,6,0.0011111111111111111,0.052222222222222225,0.94,0.006666666666666667
internvl/hallusionbench,1126,,,18,1108,,,0.015985790408525755,0.9840142095914742
internvl/mmvet,216,29,36,123,28,0.13425925925925927,0.16666666666666666,0.5694444444444444,0.12962962962962962
