method,low_fraction,cells,macro_low_hallucination_rate,macro_high_hallucination_rate,macro_low_hallucination_share,macro_high_hallucination_recall,macro_low_severe_hallucination_rate
perplexity,0.2,9,0.3431174472585765,0.44439548499811843,0.1554923244748095,0.20692278451204632,0.22732468909495646
semantic_entropy,0.2,9,0.31285403478609797,0.5715578661115037,0.14099428650627366,0.2804917824169179,0.19328829771479217
umpire,0.2,9,0.2769522875777819,0.4757131715795533,0.12447512386351739,0.22352114680750493,0.16988688770038576
perplexity,0.1,9,0.312467920321074,0.4537691024006525,0.07162475983305067,0.10419867645113842,0.18956063087140942
semantic_entropy,0.1,9,0.3169776909328134,0.5814862057006832,0.06862694749345491,0.14209147570997446,0.18178914771793694
umpire,0.1,9,0.23439699341351586,0.46647496442083963,0.05198251322206886,0.10700034002496735,0.12620558877560634
perplexity,0.3,9,0.37510588428244745,0.4644132687904477,0.2605234635302903,0.3267903907484672,0.2527861438409802
semantic_entropy,0.3,9,0.333845551687794,0.5528534724477692,0.22412674513858852,0.4010973297481453,0.21266199842122482
umpire,0.3,9,0.3265922399488644,0.49285665488763963,0.22393809090033162,0.34716391785917017,0.21372440386417693
