model,dataset,method,low_fraction,cell_n,low_n,high_n,low_score_cutoff,high_score_cutoff,low_error_rate,high_error_rate,low_hallucination_rate,high_hallucination_rate,low_severe_hallucination_rate,low_vs_high_hallucination_gap,low_hallucination_n,low_error_n,low_hallucination_share,high_hallucination_recall,cell_hallucination_n,cell_error_n,low_correct_clean_n,low_correct_hallucination_n,low_wrong_clean_n,low_wrong_hallucination_n
llava,vilp,perplexity,0.1,888,89,89,1.0004356807185368,1.3270484964556544,0.449438202247191,0.6404494382022472,0.4943820224719101,0.47191011235955055,0.33707865168539325,0.02247191011235955,44,40,0.09462365591397849,0.09032258064516129,465,435,35,14,10,30
llava,vilp,perplexity,0.2,888,178,178,1.000890744966662,1.1611829625068735,0.37640449438202245,0.6179775280898876,0.46629213483146065,0.4887640449438202,0.3202247191011236,-0.02247191011235955,83,67,0.17849462365591398,0.1870967741935484,465,435,85,26,10,57
llava,vilp,perplexity,0.3,888,267,267,1.002064392425834,1.0739651112739292,0.39325842696629215,0.6142322097378277,0.50187265917603,0.50187265917603,0.3408239700374532,0.0,134,105,0.28817204301075267,0.28817204301075267,465,435,119,43,14,91
llava,vilp,semantic_entropy,0.1,888,89,89,-0.0,1.2430311730622676,0.30337078651685395,0.6629213483146067,0.4157303370786517,0.6741573033707865,0.24719101123595505,-0.2584269662921348,37,27,0.07956989247311828,0.12903225806451613,465,435,47,15,5,22
llava,vilp,semantic_entropy,0.2,888,178,178,-0.0,1.012283185748499,0.3089887640449438,0.651685393258427,0.4157303370786517,0.6235955056179775,0.24157303370786518,-0.2078651685393258,74,55,0.15913978494623657,0.23870967741935484,465,435,92,31,12,43
llava,vilp,semantic_entropy,0.3,888,267,267,0.39117945363903867,0.9205201921668922,0.3445692883895131,0.6329588014981273,0.43820224719101125,0.6217228464419475,0.26591760299625467,-0.18352059925093628,117,92,0.25161290322580643,0.35698924731182796,465,435,129,46,21,71
llava,vilp,umpire,0.1,888,89,89,-16.10539178305772,27.316975531803806,0.25842696629213485,0.6179775280898876,0.38202247191011235,0.5730337078651685,0.2247191011235955,-0.19101123595505615,34,23,0.07311827956989247,0.10967741935483871,465,435,52,14,3,20
llava,vilp,umpire,0.2,888,178,178,-12.955658581905155,17.53347870849818,0.2752808988764045,0.6235955056179775,0.398876404494382,0.550561797752809,0.2247191011235955,-0.151685393258427,71,49,0.15268817204301074,0.210752688172043,465,435,98,31,9,40
llava,vilp,umpire,0.3,888,267,267,-9.930582011301091,10.235914885945736,0.3333333333333333,0.6329588014981273,0.45318352059925093,0.5692883895131086,0.2696629213483146,-0.11610486891385763,121,89,0.26021505376344084,0.32688172043010755,465,435,129,49,17,72
llava,hallusionbench,perplexity,0.1,1109,111,111,1.0001241207137634,1.1655310665299479,0.46846846846846846,0.5495495495495496,0.6306306306306306,0.8198198198198198,0.43243243243243246,-0.18918918918918914,70,52,0.08739076154806492,0.1136079900124844,801,561,37,22,4,48
llava,hallusionbench,perplexity,0.2,1109,222,222,1.0002439022026781,1.0366622007448487,0.5180180180180181,0.5585585585585585,0.6711711711711712,0.7927927927927928,0.4774774774774775,-0.1216216216216216,149,115,0.18601747815230962,0.21972534332084895,801,561,64,43,9,106
llava,hallusionbench,perplexity,0.3,1109,333,333,1.0004732608817164,1.012211346594698,0.4984984984984985,0.5375375375375375,0.6486486486486487,0.7867867867867868,0.45345345345345345,-0.13813813813813813,216,166,0.2696629213483146,0.32709113607990015,801,561,102,65,15,151
llava,hallusionbench,semantic_entropy,0.1,1109,111,111,-0.0,0.6775088238752847,0.44144144144144143,0.5045045045045045,0.6486486486486487,0.8198198198198198,0.38738738738738737,-0.1711711711711711,72,49,0.0898876404494382,0.1136079900124844,801,561,33,29,6,43
llava,hallusionbench,semantic_entropy,0.2,1109,222,222,-0.0,0.6729587125981833,0.49099099099099097,0.49099099099099097,0.6216216216216216,0.7792792792792793,0.40540540540540543,-0.1576576576576577,138,109,0.17228464419475656,0.21598002496878901,801,561,65,48,19,90
llava,hallusionbench,semantic_entropy,0.3,1109,333,333,-0.0,0.6296613449602866,0.5075075075075075,0.5105105105105106,0.6426426426426426,0.7777777777777778,0.43243243243243246,-0.1351351351351352,214,169,0.2671660424469413,0.3233458177278402,801,561,94,70,25,144
llava,hallusionbench,umpire,0.1,1109,111,111,-15.775320188223253,112.00379245183929,0.3963963963963964,0.5675675675675675,0.5585585585585585,0.8198198198198198,0.35135135135135137,-0.26126126126126126,62,44,0.07740324594257178,0.1136079900124844,801,561,44,23,5,39
llava,hallusionbench,umpire,0.2,1109,222,222,-13.526036459098652,76.84386788368597,0.4369369369369369,0.5315315315315315,0.5900900900900901,0.8018018018018018,0.3918918918918919,-0.21171171171171177,131,97,0.16354556803995007,0.2222222222222222,801,561,81,44,10,87
llava,hallusionbench,umpire,0.3,1109,333,333,-11.472634469951851,43.08166501616856,0.45045045045045046,0.5375375375375375,0.6126126126126126,0.8078078078078078,0.4024024024024024,-0.19519519519519524,204,150,0.2546816479400749,0.3358302122347066,801,561,113,70,16,134
llava,mmvet,perplexity,0.1,217,22,22,1.0007088011573655,1.8301321034245315,0.2727272727272727,0.9090909090909091,0.4090909090909091,0.6818181818181818,0.18181818181818182,-0.27272727272727265,9,6,0.06206896551724138,0.10344827586206896,145,168,11,5,2,4
llava,mmvet,perplexity,0.2,217,44,44,1.002948379472565,1.532088745766553,0.4318181818181818,0.9318181818181818,0.5,0.6136363636363636,0.36363636363636365,-0.11363636363636365,22,19,0.15172413793103448,0.18620689655172415,145,168,19,6,3,16
llava,mmvet,perplexity,0.3,217,66,66,1.0115249455618334,1.3050844799646248,0.5,0.9393939393939394,0.5606060606060606,0.6666666666666666,0.42424242424242425,-0.10606060606060608,37,33,0.25517241379310346,0.30344827586206896,145,168,24,9,5,28
llava,mmvet,semantic_entropy,0.1,217,22,22,-0.0,1.5535236122261957,0.2727272727272727,0.9090909090909091,0.45454545454545453,0.8181818181818182,0.22727272727272727,-0.3636363636363637,10,6,0.06896551724137931,0.12413793103448276,145,168,11,5,1,5
llava,mmvet,semantic_entropy,0.2,217,44,44,0.5329018318945035,1.4132306906152328,0.38636363636363635,0.8863636363636364,0.4090909090909091,0.8636363636363636,0.29545454545454547,-0.45454545454545453,18,17,0.12413793103448276,0.2620689655172414,145,168,22,5,4,13
llava,mmvet,semantic_entropy,0.3,217,66,66,0.6785731651902831,1.3313839911085021,0.5303030303030303,0.8787878787878788,0.48484848484848486,0.8636363636363636,0.3939393939393939,-0.3787878787878788,32,35,0.2206896551724138,0.3931034482758621,145,168,25,6,9,26
llava,mmvet,umpire,0.1,217,22,22,-15.099209705112774,9.209594397182045,0.13636363636363635,0.9545454545454546,0.2727272727272727,0.7727272727272727,0.09090909090909091,-0.5,6,3,0.041379310344827586,0.11724137931034483,145,168,15,4,1,2
llava,mmvet,umpire,0.2,217,44,44,-8.99761951542651,6.795552980413331,0.29545454545454547,0.9318181818181818,0.3409090909090909,0.7272727272727273,0.22727272727272727,-0.3863636363636364,15,13,0.10344827586206896,0.2206896551724138,145,168,26,5,3,10
llava,mmvet,umpire,0.3,217,66,66,-5.617647441768424,4.8328407573235594,0.4696969696969697,0.9242424242424242,0.4393939393939394,0.7727272727272727,0.3484848484848485,-0.3333333333333333,29,31,0.2,0.35172413793103446,145,168,29,6,8,23
qwen,vilp,perplexity,0.1,896,90,90,1.0005287160882972,1.3965625982755339,0.17777777777777778,0.5333333333333333,0.16666666666666666,0.2111111111111111,0.13333333333333333,-0.04444444444444445,15,16,0.08379888268156424,0.10614525139664804,179,293,71,3,4,12
qwen,vilp,perplexity,0.2,896,180,180,1.0014668987222062,1.1791285219141179,0.20555555555555555,0.49444444444444446,0.16111111111111112,0.2111111111111111,0.12777777777777777,-0.04999999999999999,29,37,0.16201117318435754,0.2122905027932961,179,293,137,6,14,23
qwen,vilp,perplexity,0.3,896,269,269,1.0030066816897265,1.0712993049551276,0.25650557620817843,0.4275092936802974,0.1895910780669145,0.1970260223048327,0.14869888475836432,-0.007434944237918212,51,69,0.2849162011173184,0.29608938547486036,179,293,189,11,29,40
qwen,vilp,semantic_entropy,0.1,896,90,90,-0.0,0.9465713665170288,0.15555555555555556,0.4444444444444444,0.1111111111111111,0.2111111111111111,0.07777777777777778,-0.1,10,14,0.055865921787709494,0.10614525139664804,179,293,73,3,7,7
qwen,vilp,semantic_entropy,0.2,896,180,180,-0.0,0.6826901214311324,0.15555555555555556,0.4722222222222222,0.13333333333333333,0.2833333333333333,0.08888888888888889,-0.15,24,28,0.1340782122905028,0.2849162011173184,179,293,144,8,12,16
qwen,vilp,semantic_entropy,0.3,896,269,269,-0.0,0.5689387585018827,0.17472118959107807,0.4646840148698885,0.1412639405204461,0.27137546468401486,0.08178438661710037,-0.13011152416356875,38,47,0.2122905027932961,0.40782122905027934,179,293,206,16,25,22
qwen,vilp,umpire,0.1,896,90,90,-17.56901177303687,32.287929134199544,0.1,0.5111111111111111,0.07777777777777778,0.2222222222222222,0.06666666666666667,-0.14444444444444443,7,9,0.03910614525139665,0.11173184357541899,179,293,80,1,3,6
qwen,vilp,umpire,0.2,896,180,180,-15.098453831892574,22.553876652789015,0.15,0.5,0.12222222222222222,0.24444444444444444,0.08888888888888889,-0.12222222222222222,22,27,0.12290502793296089,0.24581005586592178,179,293,147,6,11,16
qwen,vilp,umpire,0.3,896,269,269,-11.8777058244799,12.780827889169585,0.20074349442379183,0.44609665427509293,0.16356877323420074,0.2379182156133829,0.11524163568773234,-0.07434944237918215,44,54,0.24581005586592178,0.3575418994413408,179,293,202,13,23,31
qwen,hallusionbench,perplexity,0.1,1113,112,112,1.0001269578900813,1.2099083475595993,0.26785714285714285,0.5267857142857143,0.4017857142857143,0.5267857142857143,0.22321428571428573,-0.125,45,30,0.08670520231213873,0.11368015414258188,519,465,62,20,5,25
qwen,hallusionbench,perplexity,0.2,1113,223,223,1.0003273010276095,1.0546952725045025,0.2825112107623318,0.5515695067264574,0.40358744394618834,0.515695067264574,0.22869955156950672,-0.1121076233183857,90,63,0.17341040462427745,0.22157996146435452,519,465,121,39,12,51
qwen,hallusionbench,perplexity,0.3,1113,334,334,1.0009446382483052,1.014443635791153,0.27844311377245506,0.5299401197604791,0.4101796407185629,0.5119760479041916,0.23053892215568864,-0.10179640718562871,137,93,0.26396917148362237,0.32947976878612717,519,465,181,60,16,77
qwen,hallusionbench,semantic_entropy,0.1,1113,112,112,-0.0,0.6747357464820802,0.3125,0.5982142857142857,0.42857142857142855,0.5892857142857143,0.25892857142857145,-0.16071428571428575,48,35,0.09248554913294797,0.12716763005780346,519,465,58,19,6,29
qwen,hallusionbench,semantic_entropy,0.2,1113,223,223,-0.0,0.6651983792399208,0.3004484304932735,0.5739910313901345,0.37668161434977576,0.5919282511210763,0.242152466367713,-0.21524663677130051,84,67,0.16184971098265896,0.2543352601156069,519,465,126,30,13,54
qwen,hallusionbench,semantic_entropy,0.3,1113,334,334,-0.0,0.555902470991411,0.3203592814371258,0.5269461077844312,0.38922155688622756,0.5538922155688623,0.24850299401197604,-0.1646706586826347,130,107,0.2504816955684008,0.35645472061657035,519,465,180,47,24,83
qwen,hallusionbench,umpire,0.1,1113,112,112,-19.452974736045313,166.5896495117143,0.15178571428571427,0.4375,0.22321428571428573,0.48214285714285715,0.14285714285714285,-0.2589285714285714,25,17,0.04816955684007707,0.10404624277456648,519,465,86,9,1,16
