model,dataset,n,accuracy,hallucination_rate,wrong_hallucination_n,wrong_clean_n,correct_hallucination_n,correct_clean_n,hallucination_rate_given_wrong,hallucination_rate_given_correct,phi_error_hallucination,odds_ratio_error_hallucination
llava,vilp,888,0.5101351351351351,0.5236486486486487,337,98,128,325,0.774712643678161,0.282560706401766,0.4926021106495238,8.679314227024038
llava,hallusionbench,1109,0.49413886384129846,0.7222723174030659,506,55,295,253,0.9019607843137255,0.5383211678832117,0.40593012694175484,7.829011752869621
llava,mmvet,217,0.22580645161290322,0.6682027649769585,130,38,15,34,0.7738095238095238,0.30612244897959184,0.4152960489177212,7.544616673648932
qwen,vilp,896,0.6729910714285714,0.19977678571428573,134,159,45,558,0.45733788395904434,0.07462686567164178,0.4490320484526871,10.350787143890592
qwen,hallusionbench,1113,0.5822102425876011,0.46630727762803237,367,98,152,496,0.789247311827957,0.2345679012345679,0.5483768636543441,12.147041690937838
qwen,mmvet,213,0.4788732394366197,0.30985915492957744,49,62,17,85,0.44144144144144143,0.16666666666666666,0.29683000588513064,3.869485714285714
internvl,vilp,898,0.6347438752783965,0.27616926503340755,193,135,55,515,0.5884146341463414,0.09649122807017543,0.5297723869646562,13.264086965193977
internvl,hallusionbench,1122,0.6096256684491979,0.44385026737967914,354,84,144,540,0.8082191780821918,0.21052631578947367,0.5868622973117474,15.692328166908949
internvl,mmvet,206,0.6019417475728155,0.2815533980582524,47,35,11,113,0.573170731707317,0.08870967741935484,0.5272684486493684,13.205756276791181
